problem_id,rating,tags
2118_E,2400.0,"['constructive algorithms', 'geometry', 'greedy', 'math']"
2118_D2,2200.0,"['binary search', 'brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'implementation', 'math', 'number theory']"
2118_D1,1700.0,"['brute force', 'dfs and similar', 'dp', 'graphs', 'implementation', 'number theory']"
2118_C,1300.0,"['bitmasks', 'data structures', 'greedy', 'math']"
2118_B,1200.0,['constructive algorithms']
2118_A,800.0,"['constructive algorithms', 'greedy']"
2117_H,2500.0,"['data structures', 'divide and conquer', 'sortings']"
2117_G,1900.0,"['brute force', 'dsu', 'graphs', 'greedy', 'shortest paths', 'sortings']"
2117_F,1800.0,"['combinatorics', 'dfs and similar', 'trees']"
2117_E,1600.0,"['brute force', 'greedy']"
2117_D,1200.0,"['binary search', 'math', 'number theory']"
2117_C,1200.0,"['data structures', 'greedy']"
2117_B,800.0,['constructive algorithms']
2117_A,800.0,"['greedy', 'implementation']"
2116_B,1300.0,"['greedy', 'math', 'sortings']"
2116_A,800.0,"['games', 'greedy']"
2115_F2,3500.0,['data structures']
2115_F1,3500.0,['data structures']
2115_E,3500.0,"['dp', 'graphs']"
2115_D,2900.0,"['bitmasks', 'dp', 'games', 'greedy', 'math']"
2115_C,2700.0,"['combinatorics', 'dp', 'greedy', 'math', 'probabilities']"
2115_B,2100.0,"['brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'trees']"
2115_A,1500.0,"['constructive algorithms', 'dp', 'math', 'number theory']"
2114_G,2200.0,"['brute force', 'constructive algorithms', 'dp', 'greedy', 'math', 'number theory']"
2114_F,2000.0,"['binary search', 'brute force', 'dfs and similar', 'dp', 'math', 'number theory', 'sortings']"
2114_E,1400.0,"['dfs and similar', 'dp', 'greedy', 'trees']"
2114_D,1400.0,"['brute force', 'greedy', 'implementation', 'math']"
2114_C,1000.0,"['dp', 'greedy']"
2114_B,900.0,"['greedy', 'math']"
